H,B,S,V,R,E,F,CCI
0.9921315109537819,0.7834319940860794,0.3041162784475712,0.6123063742038185,0.5885896880057879,0.6561151691394078,0.4067969420032829,0.5608721088985957
0.9642716674134607,0.5797736567717431,0.28045025570491994,0.5209946539619029,0.7508100760896458,0.6192600619883344,0.36447725534197717,0.551020004076368
1.0,1.0,0.26226289082013277,0.555093529656039,0.42250885753784206,0.6479730556028028,0.3989528944397412,0.5475957820906873
0.7797340347048999,0.7213867763547712,0.31110735826152663,0.6795169680410168,0.6062774933796794,0.6196045261483788,0.3501516458803574,0.5588910783713303
0.7313851769133015,0.6803898271265348,0.3329583549673139,0.7018415773433936,0.7657993079517882,0.6424748488604664,0.3732101973168583,0.5723072893956481
0.8393392251369933,0.7186953949897822,0.30405417295816944,0.6332269275286129,0.6046937163165951,0.6200018873860306,0.35463473229324527,0.555564908400533
0.9621581784113122,0.23492383557345498,0.2441524679119802,1.0,0.7977801321717295,0.6478029228136953,0.37415140490908966,0.5658734847057054
0.4705901083284345,0.5908366120477857,0.23184290360417042,0.4453305475788535,0.535641970178149,0.45484842834747863,0.26641036130136386,0.5408322953083329
0.3727468398897449,0.9151634283167663,0.26946399209572885,0.7763630950818442,0.8897011606592156,0.6446877032086601,0.3899036428307373,0.5435674837538651
0.18381703907342703,0.71570734497054,0.2185888287963978,1.0,0.8991906715246548,0.603460776873004,0.3425681714180358,0.5633877773211411
0.6838262246518038,0.696297306772224,0.2825085254474414,0.48439572319624136,0.8070639048030975,0.5908183369741616,0.3292799648925733,0.5500758782243362
0.6490470672818355,0.8843454412458402,0.2939813580668575,0.7232807091189636,0.5549192721249119,0.6211147695676817,0.36100272909812736,0.5490351919252638
0.5469787277199276,0.6513197041457367,0.29579147450765075,0.7534967888962337,0.7550122391097486,0.6005197868758596,0.33357436720223366,0.553677254560188
0.8630461673590956,0.7620903270924425,0.28604477853667076,0.65744549056685,0.48123209020404933,0.6099717707518216,0.34926123903781403,0.5540002504344492
0.9332253238493216,0.20310806609703225,0.2354089689199857,1.0,0.9769286372128765,0.6697341992158432,0.38623426139884376,0.5572660707929192
0.5389656931171962,0.6295176869614096,0.2784122948926104,0.8686838242736096,0.6286779985331278,0.5888514995555908,0.3307711647525222,0.5452570930900945
0.5432623798663947,0.5953118152623109,0.2760770568226237,0.9239369131216302,0.49380156098637823,0.5664779452118676,0.31114354660169474,0.5852037379591828
0.6255236124573386,0.5392030337647995,0.3015549285354473,0.5232896613609148,0.8941720296227689,0.5767486531482537,0.3074029930079854,0.6157851366378713
0.7241333598190153,0.9426441023281762,0.28529850724318356,0.5051544906501274,0.6450530191666097,0.6204566958414224,0.3635894316561775,0.5521828385632794
0.8686748736208069,0.7918158004301746,0.3096241263552322,0.5673199881983393,0.7040375206134313,0.6482944618435968,0.3923226068984389,0.5538767302318971
0.6323389491950948,0.7837479377656424,0.2401308567117254,0.3047089052000239,0.9051101628361813,0.5732073623417335,0.32858595194132456,0.5496366683865285
0.49009089195823785,0.6043433761048123,0.20114652597312252,0.8346739094717089,0.26534988082191957,0.4791209168659602,0.3050916046299882,0.5347544786671642
1.0,0.34730800241777743,0.26635547241241464,0.8216873081190753,0.8716368742280676,0.661397531435467,0.4070807637951987,0.5448387170899031
0.9704160595413509,0.7050465243225461,0.2857148929106931,0.48371830273825694,0.7433357358908931,0.637646303080748,0.38478271519187157,0.5481434937257781
1.0,0.4967438295464707,0.25429092951514454,0.7121727978030868,0.48934262947807294,0.590510037268555,0.344900891154193,0.5425485734237956
